axis,stage,frequency_hz,input_psd,gain,phase_deg,coherence
Roll,inner,0.732421875,1377.2940497891811,1.0071813183491816,-0.14615808742281794,0.999251721355078
Roll,inner,0.9765625,737.4543347488515,1.0158863161145157,-0.20600552384371873,0.9992154239885854
Roll,inner,1.220703125,365.60668292416506,1.0200438094251774,-0.6796449871166655,0.9987961756079918
Roll,inner,1.46484375,169.79464706518803,1.0233574307750184,-0.9178387860735717,0.9970487037171155
Roll,inner,1.708984375,81.8324703486382,1.0398645877475017,-0.7834884567694136,0.9922659740082506
Roll,inner,1.953125,45.413048820626074,1.0507695722851993,-0.666163099044384,0.9911296978012765
Roll,inner,2.197265625,30.186521690449464,1.0379744672285507,-1.822877424838655,0.9867915352908119
Roll,inner,2.44140625,22.30083573646857,1.0287003263416234,-3.3217133607443436,0.9846435496383925
Roll,inner,2.685546875,14.93806154723785,1.0225175031946019,-5.0072350828762335,0.9811297629102479
Roll,inner,2.9296875,9.896023838443073,1.04580657276379,-5.02344355978496,0.9707334242366826
Roll,inner,3.173828125,7.701684313240395,1.0615581833603833,-3.3661497531937914,0.9595992220541721
Roll,inner,3.41796875,6.292973632293932,1.098933708162709,-2.6262534802148894,0.9531989219916142
Roll,inner,3.662109375,6.079183643050009,1.1013042244907616,-2.198903061486651,0.9571783844245342
Roll,inner,3.90625,5.184101451137369,1.0383921446951982,-1.9435473364991163,0.9465817044979595
Roll,inner,4.150390625,4.039571765621022,1.0624622838906803,1.8005417732410098,0.9244399304520758
Roll,inner,4.39453125,3.218035411851212,1.20502013956192,4.719932355560392,0.9490357311590748
Roll,inner,4.638671875,3.194130226236908,1.2200081298821022,2.7813613606610157,0.9486345821307534
Roll,inner,4.8828125,3.4528971734643723,1.1877370992284415,-0.9147008805125543,0.9431698951189073
Roll,inner,5.126953125,3.464740106293357,1.195674316999448,-2.8834615862344415,0.9481520076269003
Roll,inner,5.37109375,2.9712557534934243,1.1914281471648673,-2.774712787128129,0.964529404311781
Roll,inner,5.615234375,2.2427909207378987,1.187912836937414,-2.7020114266777893,0.9597234289080686
Roll,inner,5.859375,1.7895923650250645,1.2542792053360374,-3.64218138529532,0.9345368927376113
