t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0.0,0.0,20.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.277349531645968e-10,0.04019337845989542,-8.211865518375611e-07,0.0,0.0,0.0,8.29556901420462e-07,2.117465935334589e-11,-3.2348831723979093e-07,1.7162351026399953,1.716235027991855,1.7162352152922677,1.7162351406381247,0.394160385204759,0.0,0.0,0.0,0.0,0.0
0.07459455525477557,2.7267279808038337e-05,20.000000000041414,1.5,0.9999988763734861,1.8644663972057496e-10,0.0014990836368803991,-1.2250982984978344e-07,0.0010966172595205533,1.302401547129665e-09,0.0,2.3663636301826552e-07,0.04019181829363609,-9.134854693632128e-06,0.029401926297250282,-7.258856596164689e-09,0.0,1.230626657274361e-06,-4.182993239357427e-05,-0.00026418963672379496,1.7162762154850664,1.7162093330003727,1.7162704219541536,1.7162153707603758,0.3941486282746239,-2.4175517954452104e-06,0.0,-0.0003152216460452033,-1.5668813758188295e-05,0.0
0.14918911050955114,0.00021813628648863857,20.0,1.5,0.9999955058449261,2.9382942753311604e-09,0.0029980475296296576,-9.800648725949485e-07,0.0043864036187582075,-3.4391589187224556e-09,0.0,2.260536455802438e-07,0.040187138136929645,-4.023568272481312e-05,0.058802098606400045,-1.1526026055600041e-07,0.0,1.1353548219962002e-05,-8.365008027601991e-05,-0.0005283356345329497,1.7163321625059438,1.7161984089914741,1.7163217095613785,1.716211615859926,0.39411335833546507,-3.0902441372119183e-06,0.0,-0.0006304141061757256,-6.21380436455799e-05,0.0
0.2237836657643267,0.0007361989871897047,19.999999999022773,1.5,0.9999898894643704,1.4886697172983251e-08,0.004496771963907286,-3.3076832154902897e-06,0.009869162825114228,-2.9043578873153273e-08,0.0,3.703147758402133e-07,0.040179339095648914,-8.79664251899852e-05,0.08819876309883708,-5.837211433241698e-07,0.0,1.07875058440028e-05,-0.00012545077228688338,-0.0007925263562808653,1.7164043354705723,1.7162037033592334,1.7163876197962513,1.7162224705123996,0.39405457874276056,-6.2377527688932365e-06,0.0,-0.0009455509700925577,-0.00014044906603463426,0.0
0.2983782210191023,0.0017450278304904047,19.99999999443564,1.5,0.999982028972254,4.700452601565323e-08,0.005995137284649442,-7.840301074729884e-06,0.01754456781081063,-1.1004258144875529e-07,0.0,1.8263052721893579e-06,0.04016842297867236,-0.0001584689272546355,0.11759016625600009,-1.8439177509600064e-06,0.0,2.0130126798160593e-05,-0.00016722207751960995,-0.0010565729687770935,1.716491262547579,1.7162237892842713,1.716469560435219,1.7162493846360298,0.3939722945129909,-2.471699814500832e-05,0.0,-0.001260604585067026,-0.00024846914834871994,0.0
0.3729727762738778,0.0034081659892850127,19.999999979082915,1.5,0.999971926784923,1.1474904489464789e-07,0.0074930239259230315,-1.5312773290104776e-05,0.02741216072117896,-3.3415896409502076e-07,0.0,3.9330961957994445e-06,0.04015439236272871,-0.00024558866257681403,0.1469745550212389,-4.501436752402663e-06,0.0,2.9762265423138225e-05,-0.00020895426169205091,-0.0013205672985626678,1.71659360190403,1.716259305145899,1.716566865843955,1.7162916700027648,0.39386651299578845,-5.063777847065055e-05,0.0,-0.001575550125288097,-0.0003886127425225828,0.0
0.4475673315286534,0.0058891176062336155,19.99999993767932,1.5,0.9999595859743751,2.378914028927785e-07,0.00899031244058347,-2.6459791060234128e-05,0.03947135295500787,-8.355029315716277e-07,0.0,6.320799633701047e-06,0.04013725048850626,-0.00035548260415978195,0.17635017693900013,-9.332754851200033e-06,0.0,4.7686961491201636e-05,-0.0002506374151416429,-0.001584382340707289,1.7167107712253777,1.7163096993659748,1.7166800522014949,1.716349870672894,0.393737242860225,-8.339200406375021e-05,0.0,-0.0018903642640980766,-0.0005587443437095896,0.0
0.522161886783429,0.00935133804255111,19.999999842920122,1.5,0.999945010242212,4.40628846235742e-07,0.010486883529997857,-4.2015910665669816e-05,0.05372142521362717,-1.8033795806066721e-06,0.0,1.0458611963230325e-05,0.04011700145086009,-0.0004819686324965108,0.20571528028347252,-1.728735777981854e-05,0.0,5.810742075498763e-05,-0.00029226112861079274,-0.0018482227617912903,1.716843870146346,1.7163760259490148,1.7168080221230837,1.7164228404303727,0.3935844947693844,-0.00013566202531679252,0.0,-0.00220502599669395,-0.0007596051936047994,0.0
0.5967564420382045,0.013958224130834836,19.99999965000256,1.5,0.9999282038878122,7.515491536739577e-07,0.011982618073792955,-6.271544254677125e-05,0.07016152755975093,-3.5200184665301757e-06,0.0,1.5179449380335935e-05,0.0400936499662081,-0.0006312131057122885,0.23506811417300016,-2.9486918780100105e-05,0.0,7.536314157503021e-05,-0.00033381218894946237,-0.0021118758316681138,1.716991849983644,1.7164572872050397,1.7169517220834865,1.7165115729397973,0.393408281161664,-0.0001975775004752005,0.0,-0.002519518815668152,-0.0009925490378083466,0.0
0.6713509972929801,0.01987310443259028,19.99999929028444,1.5,0.9999091717707131,1.2035352171139405e-06,0.013477397159897053,-8.929250983248951e-05,0.08879067948456477,-6.34537735974998e-06,0.0,2.1062007016379593e-05,0.0400672017572686,-0.0007970513748474092,0.2644069286727608,-4.7223313616630825e-05,0.0,9.603891060818273e-05,-0.00037529134794190216,-0.002375336419589487,1.7171549033334743,1.7165536769378238,1.7171108970707287,1.7166158143496602,0.3932086157398282,-0.00027684849303511296,0.0,-0.002833832548514147,-0.0012553918567635124,0.0
0.7459455525477556,0.027259229501077672,19.99999866455656,1.5,0.9998879192672421,1.8338797309655495e-06,0.014971102113373116,-0.00012248090851843952,0.10960776998310438,-1.0739168530216287e-05,0.0,2.951676851889435e-05,0.040037663076797354,-0.000985581637841169,0.2937299748530003,-7.196069484550025e-05,0.0,0.00010845648704903014,-0.0004166854971474865,-0.002638902587877729,1.7173338716670477,1.716665970032767,1.7172847050752893,1.7167346516690252,0.39298550974634694,-0.000385661550605701,0.0,-0.003147943018770003,-0.001549303547393702,0.0
