t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,0,0,0,1,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,1.32389775,1.32389775,1.32389775,1.32389775,0,0,0,0,0,0
0.00485056979427,7.90098174466e-15,3.7366929526e-13,0,1,-1.61837611335e-08,3.42194494962e-10,-3.25447959012e-17,8.14212212751e-12,3.85073796603e-10,3.82408118689e-24,-2.00711981945e-05,4.24391761753e-07,-1.41477434173e-14,6.71156462657e-09,3.1741696224e-07,7.09215304307e-21,-0.00823677295032,0.000174160931982,-1.46624154792e-11,1.32395947738,1.32383602262,1.32396349648,1.32383200352,4.14811128281e-06,0.000196180913942,1.1691366676e-17,0.00170798276736,0.0807773942051,1.68625179891e-14
0.00970113958853,2.52480337774e-13,1.1940813551e-11,0,1,-1.29200404727e-07,2.73185418731e-09,-3.38561770699e-16,1.30056876055e-10,6.15091425215e-09,1.95131916262e-21,-7.9863032915e-05,1.68864922309e-06,-4.3960728227e-13,5.35806762686e-08,2.53404629803e-06,1.80917244214e-18,-0.0164051053241,0.000346874734771,-2.26499305388e-10,1.32402069187,1.32377480814,1.32402869666,1.32376680333,1.65463566131e-05,0.000782543943846,1.49070481514e-15,0.00340172640335,0.160881362454,1.07447928035e-12
0.0145517093828,1.91460942284e-12,9.05496021697e-11,0,1,-4.35142546996e-07,9.20079190614e-09,-4.03960067575e-15,6.57315351713e-10,3.10870942594e-08,7.47959873222e-20,-0.000179109907691,3.78715652825e-06,-3.30682346933e-12,1.80457886263e-07,8.534581317e-06,4.62124752886e-17,-0.0245050250883,0.000518141999705,-1.13371837387e-09,1.32408139369,1.32371410638,1.32409335075,1.32370214919,3.71257977427e-05,0.0017558287219,2.53734161023e-14,0.00508128434925,0.240314432201,1.21856687488e-11
0.0194022791771,8.05693792067e-12,3.81045091872e-10,0,0.999999999999,-1.02929799681e-06,2.17638023159e-08,-2.24005414037e-14,2.07397654513e-09,9.80867161893e-08,9.93079607238e-19,-0.000317480606438,6.71291033961e-06,-1.38448650175e-11,4.26859984437e-07,2.01879304008e-05,4.60029945326e-16,-0.0325367894691,0.000687968165659,-3.55533891889e-09,1.32414158478,1.32365391543,1.32415746077,1.32363803904,6.58177553918e-05,0.00311278712794,1.89358954159e-13,0.00674670994231,0.319079125979,6.81680543589e-11
0.0242528489713,2.45536484155e-11,1.16124107054e-09,0,0.999999999998,-2.0061527817e-06,4.24187287518e-08,-8.51698033352e-14,5.05497146949e-09,2.39069989984e-07,7.37651291402e-18,-0.00049464515955,1.04589336754e-05,-4.20142695982e-11,8.31971254034e-07,3.93472763535e-05,2.7326973987e-15,-0.0405006551911,0.00085635866088,-8.62161759587e-09,1.32420126711,1.3235942334,1.32422102875,1.32357447079,0.000102553808745,0.00485018326561,8.99485493968e-13,0.00839805641581,0.397177961406,2.58904596975e-10
0.0291034187656,6.10123877348e-11,2.88552190902e-09,0,0.999999999994,-3.45939416797e-06,7.31465243931e-08,-2.53041608356e-13,1.04644933473e-08,4.94908098854e-07,3.79447952389e-17,-0.000710274841461,1.50182758582e-05,-1.03993777416e-10,1.43464472418e-06,6.7850135636e-05,1.1710172353e-14,-0.0483968784756,0.00102331890296,-1.7764611124e-08,1.32426044263,1.32353505842,1.32428405669,1.32351144238,0.000147265794945,0.0069647934385,3.21069553891e-12,0.0100353768992,0.474613451186,7.6970520459e-10
0.0339539885599,1.31688404531e-10,6.22807581454e-09,0,0.999999999985,-5.4819136749e-06,1.15911316545e-07,-6.354159787e-13,1.93543938718e-08,9.15347352011e-07,1.51475756537e-16,-0.000964042168203,2.03840124629e-05,-2.23621621781e-10,2.27340341992e-06,0.000107518417485,4.00552001958e-14,-0.0562257150401,0.00118885429881,-3.27088761838e-08,1.32431911334,1.32347638865,1.32434654661,1.32344895172,0.000199885808593,0.00945340612638,9.40940275531e-12,0.0116587244181,0.551388103114,1.93241799824e-09
0.0388045583541,2.56390922514e-10,1.21257608767e-08,0,0.999999999967,-8.16581008297e-06,1.72660470366e-07,-1.40994036668e-12,3.2962585526e-08,1.55893362389e-06,5.02273156688e-16,-0.00125562089496,2.65492452652e-05,-4.33792039077e-10,3.3864416098e-06,0.000160158482916,1.16175654639e-13,-0.0639874200962,0.00135297024457,-5.54623052483e-08,1.32437728121,1.32341822225,1.3244085005,1.32338699675,0.000260346201242,0.0123128219613,2.38693279485e-11,0.0132681518944,0.627504420083,4.28693969517e-09
0.0436551281484,4.61381778687e-10,2.18206052943e-08,0,0.999999999933,-1.16023924361e-05,2.45324654813e-07,-2.84638083408e-12,5.27114499473e-08,2.49293707927e-06,1.44537871398e-15,-0.00158468601359,3.35071021886e-05,-7.77807654453e-10,4.81162605104e-06,0.000227561203614,2.97067655806e-13,-0.0716822483465,0.00151567212552,-8.83070970975e-08,1.32443494825,1.32336055741,1.32446992036,1.32332557541,0.000328579580894,0.015539853704,5.42302338267e-11,0.0148637121464,0.702964900084,8.65278352933e-09
0.0485056979427,7.80266355881e-10,3.69019431686e-08,0,0.999999999874,-1.58821830382e-05,3.35817900599e-07,-5.33352078885e-12,8.02062523251e-08,3.79327718382e-06,3.71935232104e-15,-0.00195091375019,4.12507372519e-05,-1.31068839349e-09,6.58649723219e-06,0.000311502020701,6.8775632146e-13,-0.0793104539811,0.00167696531596,-1.33790860768e-07,1.32449211648,1.32330339235,1.32453080819,1.32326468565,0.000404518811503,0.0191313262198,1.12947492941e-10,0.0164454578891,0.777772036214,1.62103653201e-08
