t,epoch,px,py,pz,vx,vy,vz,yaw,pvarx,pvary,pvarz,vvarx,vvary,vvarz,yawvar
0.256154112,0,-0.008316025586404128,-0.04442745781928918,-7.410744728986174e-08,0.04,0.16,0.0,2.459168916060011,1.3971239999999998,1.3971239999999998,4.0,0.15366400000000002,0.15366400000000002,0.15366400000000002,0.030461741978670857
0.35633843200000004,0,-0.008316025586404128,-0.04442745781928918,-0.02900165259605103,-0.22,0.26,0.1,2.4609142453120043,1.3947610000000001,1.3947610000000001,4.0,0.09,0.09,0.09,0.030461741978670857
0.45654374400000003,0,-0.008316025586404128,-0.04442745781928918,-0.058009307895233064,0.13,-0.09,-0.1,2.4609142453120043,1.3923999999999999,1.3923999999999999,4.0,0.09,0.09,0.09,0.030461741978670857
0.5567267840000001,0,-0.008316025680126512,-0.07774805083291039,-0.08701051584660036,-0.07,-0.31,0.02,2.4609142453120043,1.3923999999999999,1.3923999999999999,4.0,0.174724,0.174724,0.174724,0.030461741978670857
0.658891008,0,-1.725026718690792e-11,-0.09996177851087865,-0.11658524132323578,0.03,0.28,0.0,2.4609142453120043,1.390041,1.390041,4.0,0.16402500000000003,0.16402500000000003,0.16402500000000003,0.030461741978670857
0.759045376,0,0.016632051435899395,-0.0999617787406002,-0.1455781492406416,0.21,-0.03,0.02,2.4609142453120043,1.387684,1.387684,4.0,0.09,0.09,0.09,0.030461741978670857
0.877197568,0,0.03326410427040716,-0.11106864230273981,-0.17978110704769534,0.09,0.12,-0.02,2.4609142453120043,1.385329,1.385329,4.0,0.18576099999999998,0.18576099999999998,0.18576099999999998,0.030461741978670857
0.9573652480000001,0,0.03326410411207592,-0.12217550649324765,-0.20298822432682329,-0.1,-0.02,0.0,2.4609142453120043,1.3829759999999998,1.3829759999999998,4.0,0.12110400000000002,0.12110400000000002,0.12110400000000002,0.030461741978670857
1.057566464,0,0.024948077031426055,-0.14438923481197166,-0.2319946939068629,-0.19,-0.12,0.05,2.4609142453120043,1.3806250000000002,1.3806250000000002,4.0,0.179776,0.179776,0.179776,0.030461741978670857
1.157751808,0,0.02494807697137847,-0.16660296293418864,-0.2609965688252487,0.16,0.0,0.02,2.4609142453120043,1.3782759999999998,1.3782759999999998,4.0,0.104329,0.104329,0.104329,0.030461741978670857
1.2579427840000001,0,0.033264104437860924,-0.18881669130818995,-0.29000004097037646,-0.11,-0.1,0.03,2.459168916060011,1.3782759999999998,1.3782759999999998,4.0,0.19448100000000001,0.19448100000000001,0.19448100000000001,0.030461741978670857
1.358087424,0,0.033264104437860924,-0.18881669130818995,-0.3060272412010434,0.02,0.08,0.05,2.459168916060011,1.3759290000000002,1.3759290000000002,4.0,0.133956,0.133956,0.133956,0.030461741978670857
1.4582138880000002,0,0.0415801283881126,-0.22213728388242576,-0.32205153253521956,0.07,-0.07,-0.03,2.459168916060011,1.373584,1.373584,4.0,0.09,0.09,0.09,0.030461741978670857
