t,ax,ay,az,gx,gy,gz
0.0,0.08005370944738388,-0.05163490027189255,9.816028594970703,0.0010257596150040627,-0.0012191826244816184,-0.0014589941129088402
0.0019983360000000003,0.07402697950601578,-0.0574784092605114,9.812368392944336,0.0003153802244924009,0.0003676608903333545,-0.0022298977710306644
0.004000256000000001,0.06944067031145096,-0.06471296399831772,9.812058448791504,2.4302767087647226e-06,0.0014777781907469034,0.00036674615694209933
0.006000128,0.06607253104448318,-0.07014787197113037,9.816370964050293,-0.00012362279812805355,0.0018743675900623202,0.0020162363070994616
0.008011520000000001,0.062388669699430466,-0.07082796841859818,9.824151039123535,-0.00012863415759056807,0.000611186376772821,0.00036282994551584125
0.010004224,0.060515739023685455,-0.06880567222833633,9.817584037780762,5.916532609262504e-05,-5.305252852849662e-05,0.0056436145678162575
0.012005376,0.06007428094744682,-0.0693008303642273,9.808574676513672,0.0004013384459540248,-0.0011575828539207578,0.008020794950425625
0.014006272,0.060762014240026474,-0.07102309167385101,9.802172660827637,0.00031623319955542684,-0.0009577380842529237,0.01313974428921938
0.016009216,0.06183503195643425,-0.07304196059703827,9.797662734985352,0.00040618889033794403,-0.0009064822806976736,0.014489131048321724
0.018008576000000002,0.06404030323028564,-0.07253595441579819,9.797270774841309,0.0009645299869589508,-0.001481050392612815,0.014756480231881142
0.020008448,0.06727556884288788,-0.069523885846138,9.802218437194824,0.0019401039462536573,-0.000724296027328819,0.011227563954889774
0.022007808,0.06679742783308029,-0.06495678424835205,9.806638717651367,0.0014934521168470383,0.0014032390899956226,0.001676232204772532
0.024010752,0.0657900869846344,-0.059831880033016205,9.808841705322266,0.0017036768840625882,0.001949630561284721,-0.0030112839303910732
0.026009856,0.06252323091030121,-0.058841459453105927,9.805643081665039,0.001300374511629343,0.0017496575601398945,0.0038317041471600533
0.028012544,0.05956151708960533,-0.05958057567477226,9.806397438049316,-0.00019501209317240864,0.0022084356751292944,0.004624056629836559
0.030013440000000002,0.06052863597869873,-0.058091238141059875,9.815413475036621,-0.0009499358129687607,-6.535531429108232e-05,0.0022618465591222048
0.032014592,0.05785328149795532,-0.06371747702360153,9.811988830566406,-0.0013514298480004072,-0.0018865404417738318,0.0032587777823209763
0.034016000000000005,0.054288625717163086,-0.07487726956605911,9.805093765258789,-0.0010274202795699239,-0.0014250918757170439,0.006271923892199993
0.036017664000000005,0.0526420883834362,-0.08547522127628326,9.801299095153809,-0.0006325982394628227,-0.0018180098850280046,0.008334257639944553
0.038016,0.05468173697590828,-0.09118854254484177,9.804816246032715,1.0246971214655787e-05,-0.0005793754826299846,0.007383753079921007
0.040019968,0.05852657929062843,-0.09030254930257797,9.807119369506836,-0.0002732197754085064,0.0006636522011831403,0.005436795298010111
0.042020352000000004,0.061016008257865906,-0.08563556522130966,9.807929992675781,-0.00037040974711999297,0.0003821782302111387,0.008192706853151321
0.044022016000000004,0.05939295515418053,-0.07937492430210114,9.80418872833252,-0.00033002643613144755,-0.0007251512142829597,0.005644536577165127
0.046019840000000006,0.062071360647678375,-0.07281764596700668,9.7969388961792,-0.0008499825489707291,-0.0011906949803233147,0.003656342625617981
0.048021248,0.06669066846370697,-0.06936060637235641,9.79874324798584,0.00019004759087692946,-0.0005466049769893289,0.0009706558776088059
0.050021632,0.07203645259141922,-0.06390093266963959,9.817873001098633,0.0004473439184948802,-8.794137102086097e-05,-0.0011930583277717233
0.052022784,0.07233794778585434,-0.059580449014902115,9.828947067260742,0.0006503522163257003,0.00030737853376194835,0.0024098267313092947
0.054021888000000004,0.07035831362009048,-0.055827170610427856,9.833776473999023,-0.00013142326497472823,-0.0009993496350944042,0.00686690816655755
0.05602432,0.06916002184152603,-0.05413318797945976,9.832477569580078,-0.0001594022469362244,-0.000311615556711331,0.0008983573061414063
0.058024704,0.07111721485853195,-0.05531986802816391,9.823075294494629,0.0013583509717136621,-0.0005736523307859898,-0.002640701597556472
0.06013824,0.07204150408506393,-0.05761595815420151,9.81104850769043,9.827494795899838e-05,0.00020299213065300137,0.0030688645783811808
0.062139904,0.0741993635892868,-0.06874926388263702,9.795281410217285,-0.00019395457638893276,-0.0006701842648908496,0.003347656922414899
0.06414156800000001,0.07278996706008911,-0.07067634165287018,9.791167259216309,0.0006719384109601378,-0.001836997689679265,2.91750311589567e-05
0.066141184,0.07448377460241318,-0.07006826996803284,9.791741371154785,0.00010329766519134864,-0.0009966616053134203,0.003520277561619878
0.068143616,0.07445261627435684,-0.07453690469264984,9.799976348876953,-0.00032600577105768025,-0.0009968540398404002,0.0016854110872372985
0.07014553600000001,0.06946363300085068,-0.06844598799943924,9.807168006896973,-0.0012623725924640894,-1.58491893671453e-05,0.002290634671226144
0.07214720000000001,0.05988117307424545,-0.05793128162622452,9.810704231262207,-0.0006298400112427771,-0.000655418902169913,0.00453623803332448
0.074147584,0.05486747622489929,-0.05457582697272301,9.803141593933105,0.0006025663460604846,0.00012545828940346837,0.006127999629825354
0.0761472,0.05643768608570099,-0.05689617618918419,9.800025939941406,0.0003407605108805001,-0.00010462833597557619,-0.002289263065904379
0.07814860800000001,0.058059144765138626,-0.05913620442152023,9.799399375915527,-3.824891973636113e-05,-0.0007895969320088625,0.0029063578695058823
0.080150528,0.057338468730449677,-0.057467177510261536,9.8072509765625,-0.0003979023895226419,-0.0007310918881557882,0.007097841706126928
0.08215193600000001,0.05783412232995033,-0.057919397950172424,9.820691108703613,-0.0010956142796203494,-0.00015210817218758166,0.011880346573889256
0.084151296,0.060633912682533264,-0.06011902540922165,9.839376449584961,-0.0009993009734898806,0.0006025448092259467,0.007283365819603205
0.086152448,0.06509409099817276,-0.05950510501861572,9.86060619354248,-0.0005409311270341277,0.0003193979791831225,0.005122215952724218
0.08815334400000001,0.07259640097618103,-0.05779349431395531,9.881901741027832,0.00028546040994115174,-4.707558036898263e-05,0.006686014123260975
