t,mode,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,ref_p_x,ref_p_y,ref_p_z,ref_v_x,ref_v_y,ref_v_z,ref_w_x,ref_w_y,ref_w_z,ref_thrust,cmd_thrust,cmd_w_x,cmd_w_y,cmd_w_z,rc_a,rc_e,rc_t,rc_r,rc_aux1,has_reference,in_trajectory,est_p_x,est_p_y,est_p_z,ahrs_tilt_err_deg,ahrs_yaw_err_deg,ahrs_acc_weight,msp_tilt_err_deg
0,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.706272509,0.000157907541,0.000974020136,0.707939383,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,0.00563843461,-0.000515349837,0.000350258403,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,0.00563843461,-0.000515349837,0.000350258403,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,0,0,0,0.113071756,0.134906752,0.999962753,nan
0.010000001,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.706275236,0.000150249013,0.000962402561,0.707936679,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,0.001135686,-0.00521799244,-0.000143823056,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,0.001135686,-0.00521799244,-0.000143823056,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,0,0,0,0.111619105,0.134465555,0.9999921,nan
0.02,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.706280371,0.000137480324,0.000943532883,0.707931584,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,-0.00662326449,-0.000856325536,-0.00353927553,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,-0.00662326449,-0.000856325536,-0.00353927553,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,0,0,0,0.109262641,0.133634792,0.999934282,nan
0.030000001,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.706272776,0.000135433573,0.000928827319,0.707939182,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,-0.00171613315,-0.00295845467,9.28502538e-05,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,-0.00171613315,-0.00295845467,9.28502538e-05,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,0,0,0,0.107561298,0.13486426,0.999992006,6.67333514e-17
0.04,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.70627209,0.000135329127,0.000933576768,0.70793986,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,0.000368574919,0.00276852209,-0.0010482971,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,0.000368574919,0.00276852209,-0.0010482971,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,0,0,0,0.108098161,0.134975349,0.999983831,6.67333514e-17
0.050000001,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.706275233,0.000137449797,0.000928241325,0.70793673,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,0.000446379785,0.00764087233,0.00285410367,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,0.000446379785,0.00764087233,0.00285410367,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,0,0,0,0.107528451,0.134466453,0.999875108,6.67333514e-17
0.06,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.706276363,0.000130170308,0.000918132823,0.707935618,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,-0.00923368136,0.00335460292,-0.001905532,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,-0.00923368136,0.00335460292,-0.001905532,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,0,0,0,0.10626243,0.134283752,0.999612306,6.67333514e-17
0.070000001,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.70627839,0.000125946789,0.00089314905,0.707933628,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,-0.00103015016,0.00335824997,0.00421761891,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,-0.00103015016,0.00335824997,0.00421761891,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,0,0,0,0.103359937,0.133955785,0.999715864,6.67333514e-17
0.080000001,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.706278097,0.000118799711,0.000878523822,0.70793394,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,-0.00376020326,-0.00241280318,0.000837032185,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,-0.00376020326,-0.00241280318,0.000837032185,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,0,0,0,0.101587707,0.134003484,0.999872617,6.67333514e-17
0.090000001,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.706280198,0.000125946454,0.000862417784,0.707931862,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,0.00265123965,-0.0036530304,0.00181308521,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,0.00265123965,-0.0036530304,0.00181308521,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,0,0,0,0.0998740965,0.1336631,0.99990772,6.67333514e-17
