segment,t,source,px,py,pz,vx,vy,vz,qw,qx,qy,qz,yaw,bgx,bgy,bgz,bax,bay,baz,covariance_t,pvarx,pvary,pvarz,vvarx,vvary,vvarz,yawvar,accepted_count,rejected_count
0,2.057287168,initial,0.0914762851936153,-0.266564739617442,-0.417927531604164,0.08,-0.16,-0.03,0.334636286207929,0.0023974579251052,-0.00418582152840455,0.942335018476229,2.45916891606001,0.000232113711113321,-9.07752963374495e-05,0.00179956219846291,0,0,0,2.057287168,1.361889,1.361889,4,0.09,0.09,0.09,0.0559130748156673,0,0
0,2.060464128,imu,0.0917305501071491,-0.267073083187151,-0.41802302584756,0.0800683678201299,-0.160021095605765,-0.0301137891262029,0.334619118282308,0.00239718507282157,-0.00418418381766101,0.942341122836883,2.45920534270552,0.000232113711113321,-9.07752963374495e-05,0.00179956219846291,0,0,0,2.057287168,1.361889,1.361889,4,0.09,0.09,0.09,0.0559130748156673,0,0
0,2.080598272,imu,0.0933442616326656,-0.270295411737515,-0.41863866007614,0.0800944167791965,-0.159967732800771,-0.0310571161997812,0.334630738448689,0.00240268809044074,-0.00418624353173691,0.942336973348875,2.45918070236311,0.000232113711113321,-9.07752963374495e-05,0.00179956219846291,0,0,0,2.057287168,1.361889,1.361889,4,0.09,0.09,0.09,0.0559130748156673,0,0
0,2.100611328,imu,0.0949477118846997,-0.273493977181453,-0.419262122187883,0.0801986093506949,-0.159764522943062,-0.0311227062424682,0.334621608150876,0.00241002467929515,-0.00418454920112111,0.942340204325142,2.45920008300703,0.000232113711113321,-9.07752963374495e-05,0.00179956219846291,0,0,0,2.057287168,1.361889,1.361889,4,0.09,0.09,0.09,0.0559130748156673,0,0
0,2.120619008,imu,0.09655062017556,-0.276693775347284,-0.419891792293217,0.0799544747819583,-0.160208784678864,-0.0320650339016764,0.334653011513728,0.00239440800303218,-0.00418486684402062,0.942329090914955,2.45913340708719,0.000232113711113321,-9.07752963374495e-05,0.00179956219846291,0,0,0,2.057287168,1.361889,1.361889,4,0.09,0.09,0.09,0.0559130748156673,0,0
0,2.140629504,imu,0.0981515646038631,-0.279902558488335,-0.420544944604634,0.0800831248034023,-0.160471021719443,-0.0330055819563702,0.334638656809266,0.00239669320478008,-0.00418388177374712,0.942334187198934,2.45916387166121,0.000232113711113321,-9.07752963374495e-05,0.00179956219846291,0,0,0,2.057287168,1.361889,1.361889,4,0.09,0.09,0.09,0.0559130748156673,0,0
0,2.157501184,gps_accepted,0.106932167618418,-0.275434148372721,-0.425231177057607,0.153593617382422,-0.0500187203297536,0.0194196674105732,0.33690968670343,0.00726136571705841,0.0153149354724263,0.941384399873291,2.45416776957046,0.000181727771348082,-9.57314065868162e-05,0.0018120124205644,-0.000102593305232859,0.00103255764798363,-0.000428592395877887,2.157501184,0.681072178069422,0.681072178072607,2.00012764192595,0.0610251614645292,0.0610250861265979,0.0593888929671909,0.020585479352794,1,0
0,2.160640256,imu,0.107415453809615,-0.275589524492235,-0.425170486469823,0.154321828730276,-0.048973695612423,0.0192484059471144,0.336909017681722,0.00726242341654043,0.0153133846401903,0.941384656376827,2.45416915451225,0.000181727771348082,-9.57314065868162e-05,0.0018120124205644,-0.000102593305232859,0.00103255764798363,-0.000428592395877887,2.157501184,0.681072178069422,0.681072178072607,2.00012764192595,0.0610251614645292,0.0610250861265979,0.0593888929671909,0.020585479352794,1,0
0,2.180801024,imu,0.110574283776709,-0.276509236563919,-0.424791558541245,0.158994005450939,-0.0423900601694393,0.0184035885741208,0.336903157201567,0.00726374023009259,0.0153159671031869,0.941386701572303,2.45418154448582,0.000181727771348082,-9.57314065868162e-05,0.0018120124205644,-0.000102593305232859,0.00103255764798363,-0.000428592395877887,2.157501184,0.681072178069422,0.681072178072607,2.00012764192595,0.0610251614645292,0.0610250861265979,0.0593888929671909,0.020585479352794,1,0
0,2.200811264,imu,0.113800379349854,-0.277295994309287,-0.424430971787075,0.163401543353395,-0.0362685145289878,0.0176782380088089,0.33689538830523,0.0072766535382382,0.0153054883463074,0.941389552564948,2.45419758206526,0.000181727771348082,-9.57314065868162e-05,0.0018120124205644,-0.000102593305232859,0.00103255764798363,-0.000428592395877887,2.157501184,0.681072178069422,0.681072178072607,2.00012764192595,0.0610251614645292,0.0610250861265979,0.0593888929671909,0.020585479352794,1,0
0,2.220823808,imu,0.117116053844192,-0.277958754203283,-0.424082207855237,0.167948238626857,-0.0298911442053945,0.0169904012587202,0.336886423294428,0.00728585908928804,0.0153137629940918,0.941392555058823,2.45421624904887,0.000181727771348082,-9.57314065868162e-05,0.0018120124205644,-0.000102593305232859,0.00103255764798363,-0.000428592395877887,2.157501184,0.681072178069422,0.681072178072607,2.00012764192595,0.0610251614645292,0.0610250861265979,0.0593888929671909,0.020585479352794,1,0
0,2.240827904,imu,0.120519515535459,-0.278490996192401,-0.423752142795432,0.172375536424419,-0.0233870211135637,0.0160234768622656,0.336894955479876,0.00728408326640489,0.0153112213773363,0.941389556773982,2.45419820220023,0.000181727771348082,-9.57314065868162e-05,0.0018120124205644,-0.000102593305232859,0.00103255764798363,-0.000428592395877887,2.157501184,0.681072178069422,0.681072178072607,2.00012764192595,0.0610251614645292,0.0610250861265979,0.0593888929671909,0.020585479352794,1,0
0,2.257688832,gps_accepted,0.111969665908587,-0.283897896049771,-0.431750859779784,0.0411766253791699,-0.0437442033543993,0.0221924587303671,0.33615477863008,-0.0161315164870716,0.00155395181574548,0.941667310791738,2.45571218359715,0.000314008058284297,-0.000206750906837913,0.00179813764909114,-0.00100428275663973,-4.546830587524e-05,-0.000546561833408163,2.257688832,0.454138605560126,0.454138604328061,1.33375074458623,0.0757365573377951,0.0757307877178718,0.0446469873112805,0.0122597392652868,2,0
0,2.260843776,imu,0.11209810908688,-0.284034793959881,-0.431680980859478,0.0402475985540806,-0.0430379680130378,0.0221044638563701,0.336149719256537,-0.0161322173592426,0.00155263975990951,0.941669107020402,2.45572287701399,0.000314008058284297,-0.000206750906837913,0.00179813764909114,-0.00100428275663973,-4.546830587524e-05,-0.000546561833408163,2.257688832,0.454138605560126,0.454138604328061,1.33375074458623,0.0757365573377951,0.0757307877178718,0.0446469873112805,0.0122597392652868,2,0
0,2.280981504,imu,0.112848335801228,-0.284855243340045,-0.431241588219082,0.0341862083425123,-0.0384096847728369,0.0215808015686832,0.336170195654526,-0.0161276411504051,0.00154514374986539,0.941661887980667,2.45567931888213,0.000314008058284297,-0.000206750906837913,0.00179813764909114,-0.00100428275663973,-4.546830587524e-05,-0.000546561833408163,2.257688832,0.454138605560126,0.454138604328061,1.33375074458623,0.0757365573377951,0.0757307877178718,0.0446469873112805,0.0122597392652868,2,0
0,2.301002496,imu,0.113470068242841,-0.285580225644929,-0.430814985384671,0.0279281374499135,-0.0340103694256283,0.0210200939837785,0.336189731042133,-0.0161312465183943,0.00155109404608991,0.94165484214485,2.45563786491821,0.000314008058284297,-0.000206750906837913,0.00179813764909114,-0.00100428275663973,-4.546830587524e-05,-0.000546561833408163,2.257688832,0.454138605560126,0.454138604328061,1.33375074458623,0.0757365573377951,0.0757307877178718,0.0446469873112805,0.0122597392652868,2,0
0,2.321011968,imu,0.113964193700254,-0.28621592559485,-0.430393663814111,0.0214527190427681,-0.0296973554768861,0.0208412750882426,0.336165925411885,-0.0161220144133258,0.0015416797878205,0.941663514460797,2.45568846748895,0.000314008058284297,-0.000206750906837913,0.00179813764909114,-0.00100428275663973,-4.546830587524e-05,-0.000546561833408163,2.257688832,0.454138605560126,0.454138604328061,1.33375074458623,0.0757365573377951,0.0757307877178718,0.0446469873112805,0.0122597392652868,2,0
0,2.341025536,imu,0.114330785783372,-0.286767877720592,-0.42998405694726,0.0152524962350953,-0.0253579131729153,0.0202577173020867,0.336167505972182,-0.0161204722041636,0.00153529019590337,0.941662987054483,2.45568499042437,0.000314008058284297,-0.000206750906837913,0.00179813764909114,-0.00100428275663973,-4.546830587524e-05,-0.000546561833408163,2.257688832,0.454138605560126,0.454138604328061,1.33375074458623,0.0757365573377951,0.0757307877178718,0.0446469873112805,0.0122597392652868,2,0
0,2.359859456,gps_accepted,0.113282039180651,-0.287376262440733,-0.438548188581427,-0.00927199845242023,0.0115566124367524,0.0192531364298486,0.335677926749058,-0.0210562416783379,0.00571813810987607,0.941724092861807,2.4566999780343,0.00028800784634138,-0.000275433508030205,0.00178335931879107,-0.00131872863109582,7.11709264834637e-05,-0.000575833911895741,2.359859456,0.340709065365539,0.340709040934801,1.00066130217935,0.0576475490017688,0.057649063065758,0.0299231497140082,0.0087400049639581,3,0
0,2.36103552,imu,0.113270885826975,-0.287362445974131,-0.438525578319857,-0.00969526180257693,0.0119394999286376,0.0191975967052203,0.33567598291943,-0.0210570846720197,0.00571756874857929,0.941724770346302,2.45670406015067,0.00028800784634138,-0.000275433508030205,0.00178335931879107,-0.00131872863109582,7.11709264834637e-05,-0.000575833911895741,2.359859456,0.340709065365539,0.340709040934801,1.00066130217935,0.0576475490017688,0.057649063065758,0.0299231497140082,0.0087400049639581,3,0
0,2.381153792,imu,0.113000477928823,-0.287054579593988,-0.438146170007985,-0.0172760919086658,0.0187162652820292,0.0184588786805279,0.335673973550652,-0.021076424699549,0.00571316402344699,0.941725080668154,2.4567075364285,0.00028800784634138,-0.000275433508030205,0.00178335931879107,-0.00131872863109582,7.11709264834637e-05,-0.000575833911895741,2.359859456,0.340709065365539,0.340709040934801,1.00066130217935,0.0576475490017688,0.057649063065758,0.0299231497140082,0.0087400049639581,3,0
0,2.401164544,imu,0.112580447842604,-0.286613558312435,-0.437789303341546,-0.0244720243328258,0.0253326613631593,0.0173114525073504,0.335662272201928,-0.0211010748309686,0.00572558813983603,0.941728624021628,2.45673203378165,0.00028800784634138,-0.000275433508030205,0.00178335931879107,-0.00131872863109582,7.11709264834637e-05,-0.000575833911895741,2.359859456,0.340709065365539,0.340709040934801,1.00066130217935,0.0576475490017688,0.057649063065758,0.0299231497140082,0.0087400049639581,3,0
0,2.42117888,imu,0.112024286311025,-0.286040387714369,-0.437451287399785,-0.0311934016192559,0.031909176658168,0.0163753633409528,0.33569246064842,-0.0211082274268764,0.00572916388671907,0.941717681303618,2.45666778318569,0.00028800784634138,-0.000275433508030205,0.00178335931879107,-0.00131872863109582,7.11709264834637e-05,-0.000575833911895741,2.359859456,0.340709065365539,0.340709040934801,1.00066130217935,0.0576475490017688,0.057649063065758,0.0299231497140082,0.0087400049639581,3,0
0,2.441190144,imu,0.111327965090921,-0.285337583722564,-0.43713435893848,-0.0385493633085348,0.0382638685600693,0.0155114972701887,0.335702923419857,-0.0211036567352155,0.00572810047611103,0.941714060500691,2.45664566429131,0.00028800784634138,-0.000275433508030205,0.00178335931879107,-0.00131872863109582,7.11709264834637e-05,-0.000575833911895741,2.359859456,0.340709065365539,0.340709040934801,1.00066130217935,0.0576475490017688,0.057649063065758,0.0299231497140082,0.0087400049639581,3,0
0,2.458032896,gps_accepted,0.111538937118223,-0.292118396323835,-0.444975759410761,-0.0469913840945865,0.0241089324281901,0.0177019628375554,0.335451577339772,-0.0204206929134539,0.00286931590849266,0.941831726789563,2.45710436151399,0.000341502951060515,-0.000240209380015849,0.0017655792236275,-0.00123715912585704,-5.67556741394332e-05,-0.000788767595526859,2.458032896,0.272943838862019,0.27294379289517,0.800952354801514,0.0597001179156082,0.0597041603748905,0.0247314637087517,0.00680639486916711,4,0
0,2.461197824,imu,0.111388380589147,-0.292040718617935,-0.444920036047562,-0.0481449605725163,0.0249772409139437,0.0175192534659891,0.335450555097509,-0.0204208172855465,0.00287052076084515,0.941832084512269,2.4571065687084,0.000341502951060515,-0.000240209380015849,0.0017655792236275,-0.00123715912585704,-5.67556741394332e-05,-0.000788767595526859,2.458032896,0.272943838862019,0.27294379289517,0.800952354801514,0.0597001179156082,0.0597041603748905,0.0247314637087517,0.00680639486916711,4,0
0,2.481298688,imu,0.110345641540557,-0.291482077057262,-0.444576858811757,-0.0556506870262059,0.0306795567202254,0.0165933045934983,0.33543548538165,-0.0204323018429837,0.00287011669404423,0.9418372038831,2.45713815547381,0.000341502951060515,-0.000240209380015849,0.0017655792236275,-0.00123715912585704,-5.67556741394332e-05,-0.000788767595526859,2.458032896,0.272943838862019,0.27294379289517,0.800952354801514,0.0597001179156082,0.0597041603748905,0.0247314637087517,0.00680639486916711,4,0
0,2.501317632,imu,0.109153794367754,-0.290812748768502,-0.444250870822781,-0.0633528983818106,0.0362573655397464,0.0164531157279996,0.335442052277046,-0.0204283721342738,0.00287320634005798,0.94183494087947,2.45712444929044,0.000341502951060515,-0.000240209380015849,0.0017655792236275,-0.00123715912585704,-5.67556741394332e-05,-0.000788767595526859,2.458032896,0.272943838862019,0.27294379289517,0.800952354801514,0.0597001179156082,0.0597041603748905,0.0247314637087517,0.00680639486916711,4,0
0,2.521549568,imu,0.107796072346503,-0.29002170455229,-0.443914242628789,-0.0708944013218125,0.0418007935498598,0.0166265226919705,0.335438639066768,-0.0204221095660483,0.00286821435999252,0.941836307544093,2.45713175932039,0.000341502951060515,-0.000240209380015849,0.0017655792236275,-0.00123715912585704,-5.67556741394332e-05,-0.000788767595526859,2.458032896,0.272943838862019,0.27294379289517,0.800952354801514,0.0597001179156082,0.0597041603748905,0.0247314637087517,0.00680639486916711,4,0
0,2.54084864,imu,0.106357546924131,-0.289165723940116,-0.443594434201621,-0.0782089358337451,0.0469711687614884,0.0164997836637302,0.335430832847404,-0.0204251330887789,0.00286295738832501,0.941839038152802,2.45714805879728,0.000341502951060515,-0.000240209380015849,0.0017655792236275,-0.00123715912585704,-5.67556741394332e-05,-0.000788767595526859,2.458032896,0.272943838862019,0.27294379289517,0.800952354801514,0.0597001179156082,0.0597041603748905,0.0247314637087517,0.00680639486916711,4,0
