t,p_x,p_y,p_z,roll_deg,pitch_deg,yaw_deg,body_up_x,body_up_y,body_up_z
0.0,6.14568062e-19,-4.22347776e-19,0.100999224,-0.05745872440414275,0.08238312056049953,90.13496832754545,-0.0010062280435479314,0.0014354891556286888,0.9999984634368237
3.0,6.14568062e-19,-4.22347776e-19,0.100999224,-0.007788404411896219,-0.0010931501996951233,89.98592453795182,-0.0001359379829685201,-1.9045675647146905e-05,0.9999999905790634
6.0,6.14568062e-19,-4.22347776e-19,0.100999224,-0.00023025009544497358,0.0016796241832987818,89.93870471228212,-3.987258683191141e-06,2.931925455473859e-05,0.9999999995622415
9.0,0.000352339876,-0.0003749478235,0.6130057010000001,-0.005112540229420134,0.012178598660515846,89.86347816272972,-8.87239366785011e-05,0.00021276865371099038,0.9999999734287812
12.0,-1.92235118,0.565896341,1.605921965,-14.506977804830266,6.418674107336683,87.94991215841642,-0.24646589822444626,0.1171203706771388,0.9620485329674727
15.0,2.70393401,11.8591078,4.35166399,-92.3986125525668,-9.8951983911018,85.87903242579422,-0.9960238236827259,0.07897292748764118,-0.041228865864512354
18.0,0.885312467,19.9370033,1.13908037,2.4146184690175514,-1.7114506477719762,58.188924895353956,0.020073177012333243,-0.04756519247392565,0.998666420798031
21.0,0.038968081200000004,20.0013688,1.0954940999999998,-0.03762493994469939,0.10621671387866459,89.17289834316676,-0.0006298503097828251,0.0018631160193859136,0.9999980660417727
24.0,0.0325644291,20.0000662,1.09568111,0.015475535567688966,0.1151591867166912,88.59843249226074,0.0003191795791820815,0.0020026977287929382,0.9999979436609874
27.0,0.0367396535,20.001599849999998,1.095931925,0.005253654768457576,0.1028754931597803,84.35519551799837,0.0002678578144324871,0.0017777891853530052,0.9999983838575959
