t,p_x,p_y,p_z,roll_deg,pitch_deg,yaw_deg,body_up_x,body_up_y,body_up_z
11.005,-0.101185166,0.0302363546,1.09899585,-9.762753370994009,2.6420089273372884,89.42803378212328,-0.1691069388108266,0.04711833952531342,0.9844707742368022
11.505,-0.6107588295000015,0.17404893200000043,1.1430046550000001,-19.997405415846643,5.401642763209104,88.39788444742706,-0.33937065938986594,0.09798778420267261,0.9355351140883692
12.005,-1.93990738,0.571573083,1.61610582,-14.342515335883546,6.42039234283694,87.95342434226939,-0.24369104182561835,0.11711472526220057,0.9627558450929831
12.505,-3.60514969,1.35988804,3.82253492,21.26982077692744,7.48351374632609,90.33824627246331,0.3620376116630974,0.12350864802692584,0.9239450100540839
13.005,-2.185556924999992,2.639227340000003,7.838346970000005,98.12484700331105,0.9223285565844814,98.13066087570148,0.9803332270766203,0.137759260673743,-0.14131224288137068
13.505,3.09806645,4.42510792,6.6789494,-133.77778730231086,-3.928979513834225,84.99231626764787,-0.7151344514873559,0.11025084388004408,-0.6902372546593067
14.005,-0.310958762,6.73140673,1.85230424,-14.370519356178056,5.675973475570593,92.71803023047374,-0.25245555651075513,0.08393069324361013,0.9639615296880327
14.505,-1.99575557,9.31680684,7.17348127,100.93015180806292,2.4991500875642143,94.33050870019763,0.9796802352910079,0.06589552588194997,-0.189431824804855
15.005,2.693107959999998,11.884854450000004,4.276060874999986,-91.61203692529921,-9.799181790619844,85.85052509360584,-0.9966374930178785,0.07710539600823191,-0.027721208802142572
15.505,-2.01906985,14.3693204,3.49831618,32.44179314995008,3.1956996173014622,91.10450560867808,0.5354359845268524,0.05737834161398861,0.842624490735576
16.005000000000003,0.210460747000033,16.576385000000013,7.955129530000007,149.62387030252273,-0.6489734089009609,85.3918829877357,0.5048248489346464,-0.030885904067472603,-0.8626690749227344
16.505000000000003,3.3973875400000035,18.142618000000006,5.885273554999987,-89.69037419957044,3.570998652506257,92.63046365777785,-0.9989471707583102,-0.04555722231660997,0.0053934709383397506
17.005000000000003,3.060114279999992,19.191095400000005,2.679682969999984,-25.449967893813714,-6.912180770235497,85.4701444350811,-0.4369630094704125,-0.07439110323995296,0.8963979540992398
17.505000000000003,1.8513308399999917,19.744078000000002,1.4040919899999962,-7.284394237308094,-8.277764467521182,68.80063497651945,-0.16985617448238421,-0.08729522239392115,0.9815948370572278
18.005000000000003,0.8775919609999946,19.9379193,1.1380013099999993,2.457094750649509,-1.63029296082691,58.08902946414332,0.021367196334768607,-0.04679006144435481,0.9986761902993507
18.505000000000003,0.34452087299999784,19.9848456,1.08499913,3.745255936965206,1.8583771973729726,57.433380770068645,0.07246857116921812,-0.007888922929202194,0.9973394964041629
